uniqueid,show_id,showdate,showtitle,artist,song_id,songname,artist_id,permalink,settype,setnumber,position,tracktime,transition_id,transition,footnote,isjamchart,jamchart_notes,venue_id,shownotes,showyear,showorder,opener,tour_id,tourname,soundcheck,isverified,slug,isoriginal,original_artist,venuename,city,state,country,isreprise,isjam,css_class,isrecommended
4908,1613690543,2014-12-20,,Goose,447,Chank,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,6,,1,", ",John Scofield.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,chank,0,John Scofield,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4909,1613690543,2014-12-20,,Goose,446,Caution,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,7,,1,", ",Bob Marley. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,caution,0,Bob Marley,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4910,1613690543,2014-12-20,,Goose,539,Rosetta,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,8,,1,", ",Earl Hines. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,rosetta,0,Earl Hines,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4911,1613690543,2014-12-20,,Goose,512,Madhuvan,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,9,,1,", ",First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,madhuvan,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4912,1613690543,2014-12-20,,Goose,400,Turned Clouds,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,10,,1,", ",,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,turned-clouds,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4913,1613690543,2014-12-20,,Goose,410,Indian River,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,11,,1,", ",First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,indian-river,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4914,1613690543,2014-12-20,,Goose,406,Lead the Way,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,1,12,,4,,First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,lead-the-way,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4915,1613690543,2014-12-20,,Goose,588,Wild Night,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,2,13,,1,", ",Van Morrison. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,wild-night,0,Van Morrison,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4916,1613690543,2014-12-20,,Goose,441,Boogie On Reggae Woman,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,2,14,,1,", ",Stevie Wonder. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,boogie-on-reggae-woman,0,Stevie Wonder,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4917,1613690543,2014-12-20,,Goose,528,One More Saturday Night,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,2,15,,1,", ",Grateful Dead. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,one-more-saturday-night,0,Grateful Dead,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4918,1613690543,2014-12-20,,Goose,507,Linus And Lucy,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,2,16,,1,", ",Vince Guaraldi.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,linus-and-lucy-2,0,Vince Guaraldi,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4919,1613690543,2014-12-20,,Goose,456,Dancing In The Moonlight,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,2,17,,1,", ",King Harvest. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,dancing-in-the-moonlight,0,King Harvest,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4920,1613690543,2014-12-20,,Goose,427,Mustang Sally,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,2,18,,1,", ",Wilson Pickett. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,mustang-sally,0,Wilson Pickett,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4921,1613690543,2014-12-20,,Goose,550,Shout,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,2,19,,4,,The Isley Brothers. First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,shout,0,The Isley Brothers,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4922,1613690543,2014-12-20,,Goose,403,Arcadia,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,3,20,,1,", ",,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,arcadia,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4943,1613690543,2014-12-20,,Goose,484,Gringo,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,3,21,,1,", ",First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,gringo,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4944,1613690543,2014-12-20,,Goose,557,Spirit Of The Dark Horse,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,3,22,,1,", ",,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,spirit-of-the-dark-horse,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4945,1613690543,2014-12-20,,Goose,572,This Old Sea,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,3,23,,1,", ",First known version.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,this-old-sea,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4946,1613690543,2014-12-20,,Goose,872,The River,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,3,24,,5,,,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,the-river,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4947,1613690543,2014-12-20,,Goose,581,Use Me,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,e,25,,1,", ",Bill Withers.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,use-me,0,Bill Withers,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4948,1613690543,2014-12-20,,Goose,507,Linus And Lucy,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,e,26,,1,", ",Vince Guaraldi.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,linus-and-lucy-2,0,Vince Guaraldi,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4949,1613690543,2014-12-20,,Goose,411,Jive I,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,e,27,,1,", ",Wiltonian Jive.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,jive-i,1,,Factory Underground Studio,Norwalk,CT,USA,0,0,,
4950,1613690543,2014-12-20,,Goose,507,Linus And Lucy,1,goose-december-20-2014-factory-underground-studio-norwalk-ct-usa.html,Set,e,28,,6,,Vince Guaraldi.,0,,36,"The legendary inaugural Goosemas event. Jon bought dozens of pizzas, trays of tenders, salad, and more, and maybe ten or twelve kegs. Bonnie and a good friend held down the bar. Thresher, Galardi, and others helped Coach set up in the basement of the studio. Goose played three sets...and the rest is history.",2014,1,,13,Goosemas I,,1,linus-and-lucy-2,0,Vince Guaraldi,Factory Underground Studio,Norwalk,CT,USA,0,0,,
63688,1616038744,2014-12-23,,Goose,447,Chank,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,1,,1,", ",John Scofield.,0,,35,,2014,1,,1,Not Part of a Tour,,0,chank,0,John Scofield,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63689,1616038744,2014-12-23,,Goose,539,Rosetta,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,2,,1,", ",,0,,35,,2014,1,,1,Not Part of a Tour,,0,rosetta,0,Earl Hines,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63690,1616038744,2014-12-23,,Goose,656,Back On The Train,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,3,,1,", ",Phish. First known Goose version.,0,,35,,2014,1,,1,Not Part of a Tour,,0,back-on-the-train,0,Phish,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63691,1616038744,2014-12-23,,Goose,410,Indian River,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,4,,1,", ",,0,,35,,2014,1,,1,Not Part of a Tour,,0,indian-river,1,,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63692,1616038744,2014-12-23,,Goose,484,Gringo,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,5,,1,", ",,0,,35,,2014,1,,1,Not Part of a Tour,,0,gringo,1,,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63693,1616038744,2014-12-23,,Goose,572,This Old Sea,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,6,,1,", ",,0,,35,,2014,1,,1,Not Part of a Tour,,0,this-old-sea,1,,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63694,1616038744,2014-12-23,,Goose,972,Flood in Franklin Park,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,7,,1,", ",Grant Green. First known version.,0,,35,,2014,1,,1,Not Part of a Tour,,0,flood-in-franklin-park,0,Grant Green,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63695,1616038744,2014-12-23,,Goose,403,Arcadia,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,8,,1,", ",,0,,35,,2014,1,,1,Not Part of a Tour,,0,arcadia,1,,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63696,1616038744,2014-12-23,,Goose,400,Turned Clouds,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,9,,1,", ",,0,,35,,2014,1,,1,Not Part of a Tour,,0,turned-clouds,1,,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63697,1616038744,2014-12-23,,Goose,588,Wild Night,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,1,10,,4,,Van Morrison.,0,,35,,2014,1,,1,Not Part of a Tour,,0,wild-night,0,Van Morrison,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63698,1616038744,2014-12-23,,Goose,512,Madhuvan,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,2,11,,1,", ",,0,,35,,2014,1,,1,Not Part of a Tour,,0,madhuvan,1,,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
63699,1616038744,2014-12-23,,Goose,495,I Wish,1,goose-december-23-2014-station-house-bar-and-grille-norwalk-ct-usa.html,Set,2,12,,1,", ",Stevie Wonder.,0,,35,,2014,1,,1,Not Part of a Tour,,0,i-wish,0,Stevie Wonder,Station House Bar and Grille,Norwalk,CT,USA,0,0,,0.0
